Country Name,Eligible population,Total English speakers,Total English speakers,As first language,As first language,As an additional language,As an additional language,Notes
Israel,"7,303,000","6,205,000",84.97,"100,000",1.37,"6,105,000",83.6,"Source: Ethnologue (2005) English is widely spoken, both by the Jewish majority and by minority ethnic groups."
Austria,"8,415,000","6,150,000",73,0,0,"6,150,000",73,
Romania,"19,043,767","5,900,000",31,0,0,"5,900,000",31,Source: Eurobarometer report 2012
Hungary,"9,603,634","2,428,295",25.29,0,0,"2,428,295",25.29,2022 Census
Greece,"10,787,690","5,500,000",51,0,0,"5,500,000",51,Source: Eurobarometer report 2012
Czechia,"10,562,214","5,350,000",50.65,"16,481",0.016,"5,350,000",50,Source:
Russia,"135,125,671","5,066,515",3.75,0,0,"5,066,515",3.75,"Russian population Census, 2021, total count excluded 12,056,452 people who did not specify a language."
Sierra Leone,"5,866,000","4,900,000",83.53,"500,000",8.52,"4,400,000",75,"Crystal (2003), p. 109. This includes speakers of an English creole."
Denmark,"5,543,000","4,770,000",86,0,0,"4,770,000",86,Source: Eurobarometer report 2012
Switzerland,"8,482,268","3,279,538",37.96,"492,343",5.80,"2,787,195",32.86,"Figure for speakers of English as ""main language"", according to Federal Statistical Office 2020. Source for number of total English speakers is an FSO survey in 2019 on ""the main languages in regular use"", which reported that 48.8% of permanent residents aged 15 or above (7,187,688 as of 2020) regularly used English; as a result, total speakers and non-native speakers are likely to be undercounts due to the exclusion of children below the age of 15."
Norway,"5,136,700","4,500,000",90,0,0,"4,500,000",90,
Papua New Guinea,"6,331,000","4,459,191",70.4,0,0,"4,459,191",70.4,"Source: 2011 Census
Note: This statistic is people who are literate in Standard English, not including Tok Pisin."
Ireland,"5,084,879","4,958,527",97.52,"4,333,372",85.22,"625,155",12.29,"Source: Central Statistics Office 2022 Census
Figures for native speakers are people whose spoke English or Irish at home (which likely included the approximately 70,000 people who spoke Irish daily outside education system), and additional speakers are people who spoke other languages and declared that they spoke English ""very well"" or ""well."
New Zealand,"4,889,202","4,750,056",97.15,"3,692,670",75.53,"1,057,386",21.62,"There were 4,993,923 responses to 2023 Census: Language spoken. 4,750,056 gave English as a response . Another 104,721 reported no language (e.g. too young). Hence it is most meaningful to express the English-speaking per cent without including the figures for these 104,721. This gives 97.2% English-speaking (3,673,679 divided by 3,755,565), 2.8% non-English-speaking. Figures for native speakers are those who declared English to be the only language they spoke, so they are very likely to be undercounts."
Madagascar,"23,042,300","4,147,614",18,0,0,"4,147,614",18,The main languages are French and Malagasy.
Tanzania,"35,341,131","7,660,000",21.7,"240,000",0.7,"7,420,000",21.0,"Source: 2022 Population and Housing Census on literacy rate amongst people aged 15 or above. Figure for native speakers referred to those who were ""literate in English only"" while number for non-native speakers referred to those who were literate in ""both Kiswahili and English""."
Sri Lanka,"21,803,000","3,994,174",18.32,"10,000",0.05,"3,994,174",18.32,"Source: Crystal (2003), p. 109; Department of Census and Statistics, 2012. 23.8% of the population aged over 10 could speak English."
Singapore,"3,596,284","2,668,719",74.21,"1,735,242",48.25,"933,477",25.96,"Figures indicate Singaporean residents (citizen and permanent resident population); data for population who spoke English as an additional language came from summing number of people whose second most spoken language at home was English.
Source: Census 2020 ""Language Spoken at Home Among Residents Aged 5 Years and Over"""
Finland,"5,563,970","3,900,000",70,"29,448",0.53,"3,870,000",70,Source: (for native speakers) Statistics Finland; (for total speakers) Eurobarometer report 2022
Cambodia,"15,766,292","3,500,000",22.2,0,0,"3,500,000",22.2,Source: quote of a Ministry of Education spokesman
Hong Kong,"7,179,127","4,217,535",58.75,"330,782",4.61,"3,886,753",54.14,"According to 2021 population census, Hong Kong has approximately 4.2 million speakers, of whom 330,782 regard English as their ""usual"" language."
Liberia,"3,750,000","3,100,000",82.67,"600,000",16,"2,500,000",66.67,"Source: Crystal (2003), p. 109. This includes speakers of an English creole."
Jordan,"6,598,000","2,969,370",45,0,0,"2,969,370",45,Source: Euromonitor International report (2011)
Portugal,"10,623,000","2,900,000",27,0,0,"2,900,000",27,Source: Eurobarometer report 2012
Argentina,"42,192,500","2,752,681",6.52,0,0,"2,752,681",6.52,"Source:. Percentage of people who state they have a high level of English. Another 19.49% and 16.23% of people said they had an intermediate and low level, respectively, of English."
Jamaica,"2,714,000","2,650,000",97.64,"45,900",1.69,"2,604,100",95.95,"Source: Crystal (2003), p. 109. This includes speakers of an English creole."
Croatia,"3,781,833","1,500,000",41,"2,863",0.076,"1,500,000",41,Source: 2021 Croatian census; Eurobarometer report 2024
Algeria,"35,954,000","2,516,780",7,0,0,"2,516,780",7,Source: Euromonitor International report (2011)
Myanmar,"53,900,000","2,400,000",4.45,0,0,"2,400,000",4.45,"Source: Crystal (2003), p. 109."
Yemen,"24,800,000","2,232,000",9,0,0,"2,232,000",9,Source: Euromonitor International report 2011
Colombia,"47,661,368","2,012,950",4.22,"75,600",0.16,"1,937,350",4.06,"Total was estimated by multiplying projected population for 2014 (DANE) by percentage of Colombian population who speak English, 4.09%, then 63,600 was added to that figure which is the total of American and British residents. Figures for native speakers are as follows: 60,000 U.S. citizens who reside in Colombia. 12,000 are Colombian Raizal from San Andrés and Isla de Providencia where they speak San Andrés–Providencia Creole. 3,600 British expatriates."
Puerto Rico,"3,159,608","1,247,939",39.5,"159,024",5.03,"1,088,915",34.46,"Source: 2022 American Community Survey 
Figures for non-native speakers were those who spoke another language and spoke English ""very well"" and ""well""."
Zambia,"11,922,000","1,910,000",16.02,"110,000",0.92,"1,800,000",15.1,"Source: Crystal (2003), p. 109."
Bulgaria,"7,640,238","1,900,000",25,"2,605",0.03,"1,902,605",25,Source: Eurobarometer report 2012 and 2011 Census
Kazakhstan,"12,156,705","1,874,583",15.42,602,0,"1,873,981",15.42,"Number of those who understand spoken English, from these 1.9 million: 311,435 (2.6%/16.6%) can only read, 931,444 (7.7%/49.6%) can read and write in English. The number of native speakers is the sum of Americans and Englishmen ""by nationality"". (Census 2009)"
Lebanon,"4,265,600","1,706,000",40,0,0,"1,706,000",40,Source: Euromonitor International report (2011)
Chile,"16,634,603","1,585,027",9.53,0,0,"1,585,027",9.53,Source: 2012 Census.
Rwanda,"10,137,400","1,520,610",15,0,0,"1,520,610",15,Source: Euromonitor International report 2009
Slovakia,"5,449,270","1,400,000",26,"4,365",0.08,"1,400,000",26,"Source: (For native speakers) 2021 census (total count includes 312,364 people whose first language was unknown, which is excluded when calculating the percentage), Eurobarometer report 2012"
Slovenia,"2,050,000","1,210,000",59,0,0,"1,210,000",59,Source: Eurobarometer report 2012
Lithuania,"2,810,761","873,941",31.09,,,"873,941",31.09,"Source:2021 census. Number of native speakers was not explicitly stated but included in ""other""."
Trinidad and Tobago,"1,305,000","1,145,000",87.74,0,0,"1,145,000",87.74,"Source: Crystal (2003), p. 109. This includes speakers of an English creole."
Latvia,"2,070,371","950,000",46,,,"950,000",46,Source: Eurobarometer report 2012
Nepal,"29,164,578","103,884",0.35,"1,323",0.0005,"102,561",0.35,Source: Census 2021  Figures only include those who declared English as their first/second language and does not reflect overall English ability.
Uruguay,"3,500,000","840,000",24,0,0,"840,000",24.0,Source: 2019 National Statistics Institute poll.
Guyana,"751,000","680,000",90.55,0,0,"680,000",90.55,"Source: Crystal (2003), p. 109. This includes speakers of an English creole."
Estonia,"1,331,824","626,439",47.03,"3,879",0.29,"622,560",46.74,Source: 2021 Census.
Botswana,"1,639,833","630,000",38.42,0,0,"630,000",38.42,"Source: Crystal (2003), p. 109."
South Sudan,"10,913,164","10,258,374",94,"818,487",7.5,"9,439,887",86.5,Source: Countries That Speak English and the World Bank
Cyprus,"923,381","670,000",73,"44,482",4.82,"630,000",68,"Source: (Native speakers), (Total speakers) Eurobarometer report 2024"
Panama,"4,176,869","584,762",14,0,0,"584,762",14,
Eswatini,"1,141,000","550,000",48.2,0,0,"550,000",48.2,"Source: Crystal (2003), p. 109. Official language, business conducted in English; primary school language."
Malawi,"13,931,831","540,209",3.88,209,<0.1,"540,000",3.87,"Source: Crystal (2003), p. 109 and Kayambizinthu."
Lesotho,"1,795,000","500,000",27.86,0,0,"500,000",27.86,"Source: Crystal (2003), p. 109."
Suriname,"470,784","410,000",87.09,,,,,"Source: Crystal (2003), p. 109. This includes speakers of an English creole."
Malta,"497,265","440,000",89,"50,242",10.10,"390,000",79,"Source: (For native speakers) Census of Population and Housing 2021, Eurobarometer report 2012"
Iceland,"376,248","368,723",98,,,,,Source:
Namibia,"1,820,916","314,000",17.24,"14,000",0.77,"300,000",16.48,"Source: Crystal (2003), p. 109."
Luxembourg,"477,061","122,467",25.67,"20,316",3.61,"100,000",21,"Source: RP2021. Figures for total speakers were those who spoke English at home / school / work, so it excludes the people who knew English but didn't actively use it. Percentage of native speakers was calculated from a denominator of total valid responses on that question (563,092). Number of non-native speakers, therefore, cannot be precisely calculated."
Bahamas,"330,549","288,000",87.13,,,,,"Source: Crystal (2003), p. 109. This includes speakers of an English creole."
Barbados,"296,000","296,000",100,"10,000",3.38,"286,000",96.62,This includes speakers of an English creole.
Belize,"368,924","278,390",75.46,,,"278,390",75.46,"Source: 2022 Census Included population aged 4 or above who spoke English, no distinctions between first and second languages were made."
Costa Rica,"4,910,526","400,415",8.2,0,0,"400,415",8.2,Source: Encuesta Nacional de Hogares 2017
Mauritius,"1,233,097","202,000",15.97,"15,759",0.16,"200,000",15.81,Source: 2022 HPC
Ecuador,"18,213,749","225,000",1.2,,,,,"There are 225,000 English speakers in Ecuador. The great majority resides in Quito.[citation needed]"
Turkmenistan,"7,057,841","204,189",2.89,,,"204,189",2.89,Source: 2022 Population and Housing Census
Armenia,"2,921,062","143,939",4.93,,,"143,939",4.93,"Source: 2022 census, total count excludes 11,669 people who didn't answer question about language proficiency.  All speakers were explicitly listed as second language speakers."
Vanuatu,"239,839","137,827",76.87,"4,955",2.07,"130,000",73,"Source:2020 Vanuatu Census. Data for total speakers were people aged 15+ who were literate in English, so the corresponding percentage was calculated through dividing the number by population aged 15+ (179,302). On the other hand, number of native speakers included anyone aged 3+, so the corresponding percentage is calculated by dividing it by total population aged 3 or above (239,839). It is impossible to precisely calculate number of non-native speakers as a result. Figures exclude Bislama."
Azerbaijan|,"9,594,300","123,664",1.29,,,"123,664",1.29,"Source: 2019 Census, excluded territories controlled by Republic of Artsakh at that time. Figures included only ""the fluent speakers"". They were all explicitly listed as second language speakers."
Fiji,"853,445","176,000",20.62,"6,000",0.7,"170,000",19.92,"Source: Crystal (2003), p. 109."
Solomon Islands,"631,061","459,906",72.88,,,"631,061",72.88,"Source: 2019 Census. Labelled ""English Ability"", defined as people who can write a simple sentence in English."
Guam,"135,770","109,218",80.44,"57,906",42.65,"51,312",37.79,"Source:2020 U.S. CensusFigures for non-native speakers only included those who spoke another language and spoke English ""very well""."
Brunei,"381,371","144,000",39.07,"10,000",2.62,"134,000",35.14,"Source: Crystal (2003), p. 109."
Saint Vincent and the Grenadines,"120,000","114,000",95,,,,,"Source: Crystal (2003), p. 109. This includes speakers of an English creole."
U.S. Virgin Islands,"80,430","73,219",91.03,"56,173",69.84,"17,046",21.19,"Source: Crystal (2003), p. 109. This includes speakers of an English creole."
Grenada,"110,000","100,000",90.91,,,,,"Source: Crystal (2003), p. 109. This includes speakers of an English creole."
Samoa,"188,540","94,000",49.86,"1,000",0.53,"93,000",49.33,"Source: Crystal (2003), p. 109."
Isle of Man,"84,069","80,781",96.09,"80,781",96.09,,,Source:2021 Census  Figure for total English Speakers was likely to be an undercount due to the number of second language speakers not being available.
Saint Lucia,"165,000","71,000",43.03,"31,000",18.79,"40,000",24.24,"Source: Crystal (2003), p. 109. This includes speakers of an English creole."
Northern Mariana Islands,"44,111","28,599",64.83,"11,466",25.99,"17,133",38.84,"Source: 2020 U.S. Census  Figures for non-native speakers only included those who spoke another language and spoke English ""very well""."
Antigua and Barbuda,"85,000","68,000",80,,,,,"Source: Crystal (2003), p. 109. This includes speakers of an English creole."
Federated States of Micronesia,"111,000","64,000",57.66,"4,000",3.6,"60,000",54.05,"Source: Crystal (2003), p. 109."
Bermuda,"65,000","63,000",96.92,"63,000",96.92,,,"Source: Crystal (2003), p. 109."
Dominica,"67,000","63,000",94.03,"3,000",4.48,"60,000",89.55,"Source: Crystal (2003), p. 109. This includes speakers of an English creole."
Marshall Islands,"59,000","58,000",98.31,57500,85.71,500,0.85,"Source: Crystal (2003), p. 109."
American Samoa,"44,174","20,855",47.21,"1,444",3.27,"19,411",43.94,"Source: 2020 U.S. CensusFigures for non-native speakers only included those who spoke another language and spoke English ""very well""."
Aruba,"104,000","44,000",42.31,"9,000",8.65,"35,000",,"Source: Crystal (2003), p. 109."
The Gambia,"1,709,000","40,000",2.34,0,0,"40,000",2.34,"Source: Crystal (2003), p. 109. This includes speakers of an English creole."
Saint Kitts and Nevis,"50,000","39,000",78,,,,,"Source: Crystal (2003), p. 109. This includes speakers of an English creole."
Cayman Islands,"68,811","61,070",88.75,"61,070",88.75,,,Source: 2021 Census
Seychelles,"87,000","33,000",37.93,"3,000",3.45,"30,000",34.48,"Source: Crystal (2003), p. 109."
Tonga,"100,000","30,000",30,0,0,"30,000",30,"Source: Crystal (2003), p. 109."
Gibraltar,"26,786","24,965",93.2,"20,689",77.2,"4,276",16.0,"2012 Census, native speakers correspond to those who speak English ""very well"" and non-native speakers correspond to those who speak English ""well""."
Kiribati,"94,312","68,765",72.91,0,0,"68,765",72.91,Source: 2010 Census
Macao,"663,782","150,359",22.65,"23,635",3.56,"126,724",19.09,Source: 2021 Census
British Virgin Islands,"23,000","20,000",86.96,"20,000",86.96,,,"Source: Crystal (2003), p. 109. This includes speakers of an English creole."
Palau,"20,000","18,500",92.5,500,2.5,"18,000",,"Source: Crystal (2003), p. 109."
Andorra,"86,610","17,869",22,"2,600",3.0,"15,000",19,"Source Census: (Total speakers)Linguistic knowledge 2004, (Native speakers) Linguistic knowledge 2022"
Liechtenstein,"39,055","5,900",15,199,0.51,,,Source:
Anguilla,"13,000","12,000",92.31,,,,,"Source: Crystal (2003), p. 109."
Nauru,"12,000","11,600",96.67,900,7.5,"10,700",89.17,English is spoken as the language of government and commerce.
Cook Islands,"20,200","4,000",19.8,"1,000",4.95,"3,000",14.85,"Source: Crystal (2003), p. 109."
Montserrat,"5,900","4,000",67.8,"4,000",67.8,,,"Source: Crystal (2003), p. 109. This includes speakers of an English creole."
Sum of listed nations,"6,404,503,557","1,639,938,876",25.61%,"391,286,346",6.11%,"1,210,415,000",18.90%,Not all countries are listed here.  This is merely a summation of all listed countries and the respective percentages.
